Date : 2022-03-09 21:12:27
Directory : c:\Users\Tony\Desktop\interimproject
Total : 967 files,  244654 codes, 121715 comments, 55333 blanks, all 421702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\tests\test_leaks.py                                       | Python     |        113 |         41 |         25 |        179 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\tests\test_stack_saved.py                                 | Python     |         14 |          0 |          6 |         20 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\tests\test_throw.py                                       | Python     |         85 |          0 |         16 |        101 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\tests\test_tracing.py                                     | Python     |        193 |         23 |         52 |        268 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\tests\test_version.py                                     | Python     |         30 |          1 |          9 |         40 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\greenlet\tests\test_weakref.py                                     | Python     |         30 |          0 |          5 |         35 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\__init__.py                                           | Python     |         21 |          0 |          2 |         23 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\_json.py                                              | Python     |         24 |          1 |         10 |         35 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\encoding.py                                           | Python     |         30 |          7 |         18 |         55 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\exc.py                                                | Python     |         39 |         44 |         25 |        108 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\jws.py                                                | Python     |        176 |         33 |         51 |        260 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\serializer.py                                         | Python     |        138 |        114 |         44 |        296 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\signer.py                                             | Python     |        121 |         88 |         49 |        258 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\timed.py                                              | Python     |        136 |         54 |         38 |        228 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\itsdangerous\url_safe.py                                           | Python     |         50 |         12 |         19 |         81 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\__init__.py                                                 | Python     |         40 |          4 |          2 |         46 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\_identifier.py                                              | Python     |          4 |          1 |          2 |          7 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\async_utils.py                                              | Python     |         49 |          1 |         26 |         76 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\bccache.py                                                  | Python     |        184 |        134 |         47 |        365 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\compiler.py                                                 | Python     |      1,420 |        247 |        291 |      1,958 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\constants.py                                                | Python     |          1 |         19 |          1 |         21 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\debug.py                                                    | Python     |        154 |         60 |         46 |        260 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\defaults.py                                                 | Python     |         39 |          3 |          7 |         49 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\environment.py                                              | Python     |        927 |        548 |        187 |      1,662 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\exceptions.py                                               | Python     |         82 |         44 |         41 |        167 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\ext.py                                                      | Python     |        567 |        182 |        131 |        880 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\filters.py                                                  | Python     |        877 |        672 |        276 |      1,825 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\idtracking.py                                               | Python     |        231 |         16 |         72 |        319 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\lexer.py                                                    | Python     |        593 |        159 |        118 |        870 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\loaders.py                                                  | Python     |        348 |        211 |         94 |        653 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\meta.py                                                     | Python     |         47 |         48 |         17 |        112 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\nativetypes.py                                              | Python     |         75 |         21 |         29 |        125 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\nodes.py                                                    | Python     |        628 |        275 |        302 |      1,205 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\optimizer.py                                                | Python     |         25 |         13 |         10 |         48 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\parser.py                                                   | Python     |        852 |         86 |        103 |      1,041 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\runtime.py                                                  | Python     |        653 |        258 |        194 |      1,105 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\sandbox.py                                                  | Python     |        243 |        130 |         56 |        429 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\tests.py                                                    | Python     |        106 |         97 |         53 |        256 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\utils.py                                                    | Python     |        418 |        292 |        145 |        855 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\jinja2\visitor.py                                                  | Python     |         45 |         31 |         17 |         93 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\markupsafe\__init__.py                                             | Python     |        167 |         54 |         68 |        289 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\markupsafe\_native.py                                              | Python     |         30 |         32 |         14 |         76 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\markupsafe\_speedups.pyi                                           | Python     |          7 |          0 |          3 |         10 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\__init__.py                                                    | Python     |          7 |          5 |          7 |         19 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\__main__.py                                                    | Python     |         11 |         10 |          6 |         27 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\__init__.py                                          | Python     |          7 |          6 |          5 |         18 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\build_env.py                                         | Python     |        180 |         29 |         33 |        242 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cache.py                                             | Python     |        193 |         97 |         57 |        347 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\__init__.py                                      | Python     |          0 |          3 |          2 |          5 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\autocompletion.py                                | Python     |        107 |         41 |         17 |        165 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\base_command.py                                  | Python     |        196 |         29 |         41 |        266 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\cmdoptions.py                                    | Python     |        707 |        129 |        140 |        976 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\command_context.py                               | Python     |         23 |          3 |         11 |         37 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\main.py                                          | Python     |         31 |         29 |         16 |         76 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\main_parser.py                                   | Python     |         54 |         20 |         26 |        100 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\parser.py                                        | Python     |        163 |         50 |         54 |        267 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\progress_bars.py                                 | Python     |        143 |         77 |         61 |        281 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\req_command.py                                   | Python     |        277 |         76 |         50 |        403 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\spinners.py                                      | Python     |        112 |         33 |         29 |        174 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\cli\status_codes.py                                  | Python     |          7 |          0 |          2 |          9 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\__init__.py                                 | Python     |         84 |         22 |         17 |        123 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\cache.py                                    | Python     |         98 |         48 |         37 |        183 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\check.py                                    | Python     |         37 |          3 |         12 |         52 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\completion.py                               | Python     |         56 |         31 |         12 |         99 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\configuration.py                            | Python     |        189 |         54 |         42 |        285 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\debug.py                                    | Python     |        152 |         29 |         49 |        230 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\download.py                                 | Python     |         95 |         20 |         29 |        144 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\freeze.py                                   | Python     |         82 |          8 |         14 |        104 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\hash.py                                     | Python     |         41 |         10 |         13 |         64 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\help.py                                     | Python     |         28 |          4 |         13 |         45 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\install.py                                  | Python     |        574 |         72 |        104 |        750 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\list.py                                     | Python     |        233 |         40 |         48 |        321 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\search.py                                   | Python     |        116 |         17 |         28 |        161 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\show.py                                     | Python     |        133 |         25 |         29 |        187 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\uninstall.py                                | Python     |         69 |         13 |         14 |         96 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\commands\wheel.py                                    | Python     |        135 |         23 |         31 |        189 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\configuration.py                                     | Python     |        233 |        114 |         72 |        419 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\distributions\__init__.py                            | Python     |         12 |          7 |          6 |         25 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\distributions\base.py                                | Python     |         19 |         17 |         10 |         46 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\distributions\installed.py                           | Python     |         11 |          7 |          7 |         25 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\distributions\sdist.py                               | Python     |         73 |         16 |         16 |        105 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\distributions\wheel.py                               | Python     |         17 |         12 |          8 |         37 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\exceptions.py                                        | Python     |        156 |        141 |         85 |        382 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\index\__init__.py                                    | Python     |          0 |          2 |          1 |          3 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\index\collector.py                                   | Python     |        371 |        209 |        113 |        693 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\index\package_finder.py                              | Python     |        593 |        298 |        124 |      1,015 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\locations.py                                         | Python     |        111 |         53 |         31 |        195 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\main.py                                              | Python     |          6 |          6 |          5 |         17 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\__init__.py                                   | Python     |          0 |          2 |          1 |          3 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\candidate.py                                  | Python     |         24 |          5 |         10 |         39 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\direct_url.py                                 | Python     |        177 |         24 |         45 |        246 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\format_control.py                             | Python     |         67 |         10 |         16 |         93 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\index.py                                      | Python     |         19 |          7 |          9 |         35 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\link.py                                       | Python     |        146 |         58 |         42 |        246 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\scheme.py                                     | Python     |         16 |          9 |          7 |         32 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\search_scope.py                               | Python     |         78 |         34 |         24 |        136 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\selection_prefs.py                            | Python     |         22 |         21 |          7 |         50 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\target_python.py                              | Python     |         70 |         33 |         18 |        121 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\models\wheel.py                                      | Python     |         35 |         32 |         12 |         79 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\__init__.py                                  | Python     |          0 |          2 |          1 |          3 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\auth.py                                      | Python     |        173 |         83 |         55 |        311 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\cache.py                                     | Python     |         43 |         19 |         18 |         80 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\download.py                                  | Python     |        126 |         24 |         33 |        183 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\lazy_wheel.py                                | Python     |        118 |         85 |         33 |        236 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\session.py                                   | Python     |        249 |         98 |         75 |        422 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\utils.py                                     | Python     |         36 |         51 |         11 |         98 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\network\xmlrpc.py                                    | Python     |         33 |          9 |         11 |         53 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\__init__.py                               | Python     |          0 |          0 |          1 |          1 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\build\__init__.py                         | Python     |          0 |          0 |          1 |          1 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\build\metadata.py                         | Python     |         19 |         10 |          9 |         38 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\build\metadata_legacy.py                  | Python     |         51 |         11 |         16 |         78 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\build\wheel.py                            | Python     |         34 |          6 |          7 |         47 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\build\wheel_legacy.py                     | Python     |         89 |         10 |         17 |        116 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\check.py                                  | Python     |         91 |         30 |         38 |        159 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\freeze.py                                 | Python     |        213 |         28 |         32 |        273 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\install\__init__.py                       | Python     |          0 |          2 |          1 |          3 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\install\editable_legacy.py                | Python     |         37 |          6 |         10 |         53 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\install\legacy.py                         | Python     |         98 |         11 |         22 |        131 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\install\wheel.py                          | Python     |        539 |        201 |        122 |        862 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\operations\prepare.py                                | Python     |        357 |        122 |         84 |        563 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\pyproject.py                                         | Python     |        103 |         65 |         29 |        197 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\__init__.py                                      | Python     |         74 |         10 |         20 |        104 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\constructors.py                                  | Python     |        343 |         79 |         65 |        487 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\req_file.py                                      | Python     |        372 |        134 |         87 |        593 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\req_install.py                                   | Python     |        618 |        190 |         98 |        906 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\req_set.py                                       | Python     |        127 |         44 |         33 |        204 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\req_tracker.py                                   | Python     |         97 |         23 |         31 |        151 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\req\req_uninstall.py                                 | Python     |        421 |        139 |         89 |        649 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\__init__.py                               | Python     |          0 |          0 |          1 |          1 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\base.py                                   | Python     |         13 |          2 |          6 |         21 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\legacy\__init__.py                        | Python     |          0 |          0 |          1 |          1 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\legacy\resolver.py                        | Python     |        285 |        139 |         62 |        486 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\__init__.py                    | Python     |          0 |          0 |          1 |          1 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\base.py                        | Python     |         48 |         13 |         22 |         83 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\candidates.py                  | Python     |        398 |        116 |         87 |        601 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\factory.py                     | Python     |        343 |         61 |         56 |        460 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py                    | Python     |         68 |         68 |         18 |        154 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\requirements.py                | Python     |         76 |         32 |         30 |        138 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\resolution\resolvelib\resolver.py                    | Python     |        170 |         53 |         37 |        260 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\self_outdated_check.py                               | Python     |        128 |         40 |         38 |        206 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\__init__.py                                    | Python     |          0 |          0 |          1 |          1 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\appdirs.py                                     | Python     |         20 |         13 |         12 |         45 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\compat.py                                      | Python     |        141 |         90 |         41 |        272 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\compatibility_tags.py                          | Python     |        102 |         37 |         28 |        167 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\datetime.py                                    | Python     |          6 |          3 |          6 |         15 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\deprecation.py                                 | Python     |         47 |         34 |         24 |        105 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\direct_url_helpers.py                          | Python     |         96 |         22 |         13 |        131 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\distutils_args.py                              | Python     |         30 |         10 |          9 |         49 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\encoding.py                                    | Python     |         30 |          5 |          7 |         42 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\entrypoints.py                                 | Python     |         15 |         12 |          5 |         32 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\filesystem.py                                  | Python     |        132 |         56 |         37 |        225 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\filetypes.py                                   | Python     |         12 |          2 |          3 |         17 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\glibc.py                                       | Python     |         40 |         42 |         17 |         99 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\hashes.py                                      | Python     |         75 |         46 |         25 |        146 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\inject_securetransport.py                      | Python     |         16 |         11 |         10 |         37 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\logging.py                                     | Python     |        241 |         94 |         65 |        400 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\misc.py                                        | Python     |        482 |        313 |        165 |        960 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\models.py                                      | Python     |         24 |          6 |         15 |         45 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\packaging.py                                   | Python     |         47 |         28 |         20 |         95 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\parallel.py                                    | Python     |         42 |         47 |         19 |        108 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\pkg_resources.py                               | Python     |         24 |         10 |         11 |         45 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\setuptools_build.py                            | Python     |        126 |         25 |         31 |        182 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\subprocess.py                                  | Python     |        172 |         80 |         29 |        281 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\temp_dir.py                                    | Python     |        139 |         88 |         48 |        275 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\typing.py                                      | Python     |          6 |         29 |          4 |         39 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\unpacking.py                                   | Python     |        198 |         54 |         30 |        282 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\urls.py                                        | Python     |         31 |         12 |         13 |         56 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\virtualenv.py                                  | Python     |         53 |         45 |         22 |        120 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\utils\wheel.py                                       | Python     |        121 |         59 |         46 |        226 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\vcs\__init__.py                                      | Python     |         10 |          5 |          1 |         16 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\vcs\bazaar.py                                        | Python     |         82 |         15 |         23 |        120 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\vcs\git.py                                           | Python     |        248 |         91 |         59 |        398 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\vcs\mercurial.py                                     | Python     |        115 |         20 |         24 |        159 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\vcs\subversion.py                                    | Python     |        197 |         91 |         49 |        337 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\vcs\versioncontrol.py                                | Python     |        432 |        281 |         99 |        812 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_internal\wheel_builder.py                                     | Python     |        214 |         50 |         45 |        309 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\pip\_vendor\__init__.py                                            | Python     |         72 |         29 |         10 |        111 |
