Date : 2022-03-09 21:12:27
Directory : c:\Users\Tony\Desktop\interimproject
Total : 967 files,  244654 codes, 121715 comments, 55333 blanks, all 421702 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\session.py                                          | Python     |      1,906 |      2,037 |        396 |      4,339 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\state.py                                            | Python     |        484 |        405 |        135 |      1,024 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\strategies.py                                       | Python     |      2,313 |        383 |        440 |      3,136 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\strategy_options.py                                 | Python     |      1,009 |        761 |        229 |      1,999 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\sync.py                                             | Python     |        123 |         22 |         23 |        168 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\unitofwork.py                                       | Python     |        541 |        118 |        126 |        785 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\orm\util.py                                             | Python     |      1,032 |        835 |        208 |      2,075 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\pool\__init__.py                                        | Python     |         32 |         18 |          7 |         57 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\pool\base.py                                            | Python     |        537 |        452 |        133 |      1,122 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\pool\dbapi_proxy.py                                     | Python     |         60 |         63 |         25 |        148 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\pool\events.py                                          | Python     |         32 |        228 |         19 |        279 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\pool\impl.py                                            | Python     |        305 |        133 |         77 |        515 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\processors.py                                           | Python     |        121 |         26 |         30 |        177 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\schema.py                                               | Python     |         48 |          9 |          3 |         60 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\__init__.py                                         | Python     |        125 |         10 |         16 |        151 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\annotation.py                                       | Python     |        204 |         95 |         60 |        359 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\base.py                                             | Python     |        875 |        566 |        258 |      1,699 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\coercions.py                                        | Python     |        807 |         58 |        214 |      1,079 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\compiler.py                                         | Python     |      3,981 |        675 |        791 |      5,447 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\crud.py                                             | Python     |        797 |        152 |        132 |      1,081 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\ddl.py                                              | Python     |        640 |        533 |        164 |      1,337 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\default_comparator.py                               | Python     |        288 |         21 |         48 |        357 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\dml.py                                              | Python     |        602 |        719 |        112 |      1,433 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\elements.py                                         | Python     |      2,128 |      2,680 |        555 |      5,363 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\events.py                                           | Python     |         17 |        302 |         13 |        332 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\expression.py                                       | Python     |        247 |         21 |         11 |        279 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\functions.py                                        | Python     |        507 |        839 |        202 |      1,548 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\lambdas.py                                          | Python     |        810 |        269 |        216 |      1,295 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\naming.py                                           | Python     |        156 |         24 |         31 |        211 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\operators.py                                        | Python     |        422 |      1,006 |        240 |      1,668 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\roles.py                                            | Python     |        114 |         24 |         97 |        235 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\schema.py                                           | Python     |      2,134 |      2,577 |        426 |      5,137 |
| c:\Users\Tony\Desktop\interimproject\project\environments\my_env\Lib\site-packages\sqlalchemy\sql\selectable.py                                       | Python     |      2,614 |      3,509 |        633 |      6,756 |
